name,state,address,notes,display_order,status
AWOLIYI MEMORIAL HOSPITAL AND MATERNITY,Lagos,"183 Bamgbose Street, Lagos Island, Lagos",City/Town: Lagos Island | LGA: LagosIsland | Category: Tier 2 | Service: General,0,active
AVE MARIA HOSPITAL,Lagos,"Block 7, Plot 14, Oba Abiodun Idowu Oniru Layout, Victoria Island",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
CENTRE FOR ADVANCED SPECIALTY SURGERY (CASS),Lagos,"16 Water Corporation Drive, Oniru, Victoria Island Lagos State",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: SURGERY,0,active
COPTIC HOSPITAL ONIRU,Lagos,"Plot 1, Block II Abila Abiodun Road, Oniru",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
EURACARE MULTI SPECIALIST HOSPITAL,Lagos,293 Younis Bashorun Street Victoria Island,City/Town: Victoria Island | LGA: Eti-Osa | Category: International Plan | Service: SURGERY,0,active
FAITH CITY HOSPITAL VI,Lagos,"29A OJU OLOBUN CLOSE, OFF BISHOP OLUWOLE STREET, VICTORIA ISLAND, LAGOS",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
GLENEAGLES MEDICAL HEALTHCARE SERVICES - VICTORIA ISLAND,Lagos,"7a, OJU OLOBUN CLOSE, OFF DANMOLE STREET, VI, LAGOS ,",City/Town: Victoria Island | LGA: Eti-Osa | Category: International Plan | Service: General,0,active
GROVER MEDICALS LIFESTYLE CLINIC,Lagos,"81-A, Younis Bashorun Street, Off Ajose Adeogun, Victoria Island, Lagos",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: General,0,active
HARTWELL HOSPITAL LIMITED,Lagos,"234a Muri Okunola Street, beside Union Bank, Victoria Island",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 3 | Service: CARDIOLAGY,0,active
HEALING STRIPES HOSPITAL,Lagos,"6B HSE 3, PRINCE ALABA ONIRU WAY, ONIRU ROYAL ESTATE, VI EXT, LAGOS",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
HOSPITAL FOR TRAUMA AND SURGERY,Lagos,"16, WATER COOPERATION DRIVE ONIRU VICTORIA ISLAND",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 2 | Service: ENT,0,active
